k,numerator,denominator,decimal
174,-11769332494043624306864016981503,10384593717069655257060992658440192,-0.001133345493786
175,160547341188289500347263839238617462508346034284249850507825159055627984638729050776384818257504821681,1146749307995035755805410447651043470398282494584140561868794419693461438044242404035009276555062843277312,0.000140002126070
176,0,1,0.000000000000000
177,-4232344205652379583972937246261433281768969491503811721891605042657646543414204624376518429950506219927,9173994463960286046443283581208347763186259956673124494950355357547691504353939232280074212440502746218496,-0.000461341482413
178,13713846038986901692471349228463,20769187434139310514121985316880384,0.000660297668480
179,80208098041457605518234810298416413304498340621832325233120562693827440789260338182999701921433548121523,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936,0.000546436576486
180,854646625,70368744177664,0.000012145259021
181,-1451624472154401157390024617464421788611828764301727734084626258471073779974249215877965268664923216558315,1174271291386916613944740298394668513687841274454159935353645485766104512557304221731849499192384351515967488,-0.001236191741041
182,-237659459316207208102495783597533,332306998946228968225951765070086144,-0.000715180420725
183,10500506528510758503704545735441747398039417911133607113864323564601012808025694161660778598636860786444993,37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616,0.000279442094363
184,-457,16777216,-0.000027239322662
185,-337909317422014923920076893307889242874551488903169280665350070481045577052607915818531022288326431479574307,300613450595050653169853516389035139504087366260264943450533244356122755214669880763353471793250393988087676928,-0.001124065861834
186,-833418054450972768231054955147245,1329227995784915872903807060280344576,-0.000626994057523
187,2963071704188349829584806331970750549821712044093271998510415478698037423589029906356722781258369397092059541,4809815209520810450717656262224562232065397860164239095208531909697964083434718092213655548692006303809402830848,0.000616046890601
188,-11700192937165,4503599627370496,-0.002597964718279
189,-15020778517521636165509691702306324220299664568455256311553713893052554070282886441187901382362347152956983465,38478521676166483605741250097796497856523182881313912761668255277583712667477744737709244389536050430475222646784,-0.000390367869222
190,3275796152153003339602101815578085,1329227995784915872903807060280344576,0.002464435117633
191,-3550940557707906988936457322259559537228291457376007064260683528336036258082467362107600225440949789817972286969,9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704,-0.000360483224129
192,0,1,0.000000000000000
193,70129728330013439288415907034433766713755989187416518956148431246390922641105470597783844599457960396329068510247,78804012392788958424558080200287227610159478540930893335896586808491443542994421222828532509769831281613255980613632,0.000889925857842
194,-455923325312439142438623430688965123,680564733841876926926749214863536422912,-0.000669919116641
195,-1190330401348345791034775885774633963422486897924746552450688414662546942257384836115392835370701669231241266100647,1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112,-0.000944059164316
196,2251139093419,18014398509481984,0.000124963322657
197,5308487409990664308407093846776403812824717015552344964358501732208389749968126900972829445799575266637809079175591,10086913586276986678343434265636765134100413253239154346994763111486904773503285916522052161250538404046496765518544896,0.000526274698855
198,866596263925047073263081932820666525,2722258935367507707706996859454145691648,0.000318337191465
199,-38570158767664775852153956334488348212260402880571204283806550407047663993582693863340697784432695188576740981050347,322781234760863573706989896500376484291213224103652939103832419567580952752105149328705669160017228929487896496593436672,-0.000119493187998
200,-56321,67108864,-0.000839248299599
201,-775025991492192418749224610641942119137668807073719964052909311881965717514965194163598189892814302582071800843179671,2582249878086908589655919172003011874329705792829223512830659356540647622016841194629645353280137831435903171972747493376,-0.000300135938845
202,2494206070732363797326362178574345507,5444517870735015415413993718908291383296,0.000458113304052
203,-32889099027522784575771855066310038377809315884593483959878095263425461363347454318783337399457580603342216740507169371,41315998049390537434494706752048189989275292685267576205290549704650361952269459114074325652482205302974450751563959894016,-0.000796037868629
204,110723357280023,72057594037927936,0.001536595257701
205,435166753334060304697911364987557544365746829502267460039429874045501989560719622336713999432038203877544810268468043087,330527984395124299475957654016385519914202341482140609642324397637202895618155672912594605219857642423795606012511679152128,0.001316580664510
206,-124921760899689213043317971145735326511,87112285931760246646623899502532662132736,-0.001434031486644
207,7779473106971756573750192195794055124437269795508903116219998150557108561437197683595575377710050306949688489184585592321,21153791001287955166461289857048673274508949854856999017108761448780985319561963066406054734070889115122918784800747465736192,0.000367757869334
208,0,1,0.000000000000000
209,-124877909102245381143257204069163562072062727865212759768212530191703838655273508631958362469401607234580735005690112963831,169230328010303641331690318856389386196071598838855992136870091590247882556495704531248437872567112920983350278405979725889536,-0.000737916841328
210,133838575555828349067208653771605068197,348449143727040986586495598010130648530944,0.000384097874727
211,1285055078151236075060760220286931645044059208166825460840624884034684077042848064315821471562226885662882579760447536781243,2707685248164858261307045101702230179137145581421695874189921465443966120903931272499975005961073806735733604454495675614232576,0.000474595442370
212,27804924717691,288230376151711744,0.000096467711311
213,-10897683659206002811849788597511022562774180230641932381631097024040586994714001994557494042017362418847734916214369859337155,21661481985318866090456360813617841433097164651373566993519371723551728967231450179999800047688590453885868835635965404913860608,-0.000503090401044
214,-86543775990156628066961393103702806265,348449143727040986586495598010130648530944,-0.000248368456483
215,-441469287340234907808519486873053656410154999250177912052961541579391127746551727732626081469378312369536959559784992730266179,693167423530203714894603546035770925859109268843954143792619895153655326951406405759993601526034894524347802740350892957243539456,-0.000636886951628
216,-330265,268435456,-0.001230333000422
217,1071191128799251131134627204665383288231965152604416476568233883630897594806715682979482949356003028321342977089688702183154041,5545339388241629719156828368286167406872874150751633150340959161229242615611251246079948812208279156194782421922807143657948315648,0.000193169624761
218,-4294861908586780921562243835353196959925,22300745198530623141535718272648361505980416,-0.000192588268704
219,-54711816465266662179515005574783793289276849525930176477578782866706603130769328889434185488687352959041907141865881906522965447,88725430211866075506509253892578678509965986412026130405455346579667881849780019937279180995332466499116518750764914298527173050368,-0.000616641884233
220,344879627828613,288230376151711744,0.001196541573561
221,701043261652061981212221041518014875584265014667749558513442626897796257428768610593328519315254439813033450727549493382095000179,709803441694928604052074031140629428079727891296209043243642772637343054798240159498233447962659731992932150006119314388217384402944,0.000987658301541
222,-17631113466461505241334074570714361872561,89202980794122492566142873090593446023921664,-0.000197651617799
223,-4894329843227209778734243338841500177960522498435691678976829157622661583348644553084808181547866894782727885152660431134572770513,90854840536950861318665475986000566794205170085914757535186274897579911014174740415773881339220445695095315200783272241691825203576832,-0.000053869775284
224,0,1,0.000000000000000
225,-132080907322208528648055697528527430426609643402895070185941730296699392043729816886840448326310025653812167644673656592313745514113,726838724295606890549323807888004534353641360687318060281490199180639288113397923326191050713763565560762521606266177933534601628614656,-0.000181719689537
226,3677512033281413128857327102192201673137,178405961588244985132285746181186892047843328,0.000020613167859
227,4394822064136508280073772600381532272407051732927998467827291620058689529729659806079408554598209844084818004907211982757472210238169,11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496,0.000377905537813
228,347105516181891,2305843009213693952,0.000150533021890
229,-29737203819328232317775047718666765623341418227452085840865926180994763424821361074681481779920160349598064596674862389265846455143945,93035356709837681990313447409664580397266094167976711716030745495121828878514934185752454491361736391777602765602070775492429008462675968,-0.000319633361670
230,-1927872043244833968287734304065209726157551,2854495385411919762116571938898990272765493248,-0.000675381033403
231,-1671105465319283943488057925529801815223461824767265737432394606181734453260313340499719762576835021697294091285824387355345318740242559,2977131414714805823690030317109266572712515013375254774912983855843898524112477893944078543723575564536883288499266264815757728270805630976,-0.000561313973935
232,305785,536870912,0.000569568946958
233,3134929033578952037912231725341404526829042049367376468487949427061860658898233866986582761391283481969677128977686196775367168548141269,23817051317718446589520242536874132581700120107002038199303870846751188192899823151552628349788604516295066307994130118526061826166445047808,0.000131625405335
234,-1946995224354770771115924444501191980647335,11417981541647679048466287755595961091061972992,-0.000170520088621
235,721232023323898818004346041703871466311732816383584918841236341302132083211868979218758294744941260801766669865266750733688296168301957225,381072821083495145432323880589986121307201921712032611188861933548019011086397170424842053596617672260721060927906081896416989218663120764928,0.001892635694336
236,2378180426723205,9223372036854775808,0.000257842838522
237,-3966464327334371849183854189887069893726100869743063976047477995928828685769705388920206868750294784912404117493969008639258355815142597013,3048582568667961163458591044719888970457615373696260889510895468384152088691177363398736428772941378085768487423248655171335913749304966119424,-0.001301084762506
238,4401163224837333543365410395313455033277991,11417981541647679048466287755595961091061972992,0.000385458954263
239,-78500485205074882831945660388464032176999496767050221901782868628257705996549686771289171810322579663168602593941408560035757702152732086929,195109284394749514461349826862072894109287383916560696928697309976585733676235351257519131441468248197489183195087913930965498479955517831643136,-0.000402341105645
240,0,1,0.000000000000000
241,817243354446984190425561298511453765744340314423908738596983337785045791440295178795418608190980363971171581708915578900298438548844061862423,1560874275157996115690798614896583152874299071332485575429578479812685869409882810060153051531745985579913465560703311447723987839644142653145088,0.000523580513468
242,202203449892745232154207524133790246437981067,1461501637330902918203684832716283019655932542976,0.000138353214754
243,121054964211090952305698940176061425829662647912848371842586442074025815040958874575792704297065837611430522620866505316123606272147919414269,24973988402527937851052777838345330445988785141319769206873255677002973910558124960962448824507935769278615448971252983163583805434306282450321408,0.000004847241949
244,-606801727635601915,590295810358705651712,-0.001027962111516
245,-88192520698192595684146203772622572865850248168589184471353963446182310197538048343866536435675893603093333654800857558695872732433535248799781,199791907220223502808422222706762643567910281130558153654986045416023791284464999687699590596063486154228923591770023865308670443474450259602571264,-0.000441421887029
246,-22276239445344969216551213271204940655281949,5846006549323611672814739330865132078623730171904,-0.000003810505386
247,-1441092075986339082330995671286611087050963111838209659622148811066859128504307008491334129018678303640700860331573047710642487373414140685613145,6393341031047152089869511126616404594173128996177860916959553453312761321102879990006386899074031556935325554936640763689877454191182408307282280448,-0.000225405162807
248,-677831,2147483648,-0.000315639656037
249,-9640350749816076832404076166707675921695244835214728770270123132952668213549585787331980101654558900008885085665849366462584625486590714603742901,51146728248377216718956089012931236753385031969422887335676427626502090568823039920051095192592252455482604439493126109519019633529459266458258243584,-0.000188484211600
250,2683202546351435203235088203147301029117022157,11692013098647223345629478661730264157247460343808,0.000229490210429
251,-989301097500967971108760668014036375782676730831095911212681070673470209125572009185602832162221686835894466237468422956198271469233712807679265213,818347651974035467503297424206899788054160511510766197370822842024033449101168638720817523081476039287721671031890017752304314136471348263332131897344,-0.001208900758882
252,-254780203099569555,2361183241434822606848,-0.000107903613167
253,-1690027135529352502269060901752332593553930640791662781295560788942478608057062334123381077351554019593818757906918976112099200214641645511066930095,6546781215792283740026379393655198304433284092086129578966582736192267592809349109766540184651808314301773368255120142018434513091770786106657055178752,-0.000258146267581
254,-430563914807128421804286943605417004323525081661,187072209578355573530071658587684226515959365500928,-0.002301592073871
255,10235407236941633636656077991457472153146582413334920615943239533642714314527825910011148689529302884567686501427935444031666776612146676035341384060963,6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048,0.001526783093914
256,0,1,0.000000000000000
257,-45315450174240591733729915926256220718847514139111265620852800643611304050144869822822317656074956395356364688043447915268719131633427762677998847786077,53631231719770388398296099992823384509917463282369573510894245774887056120294187907207497192667613710760127432745944203415015531247786279785734596024336384,-0.000844945169468
258,666508219680885645759660169123965248708422443719,748288838313422294120286634350736906063837462003712,0.000890709824275
259,-802631171599716605623888459080212007719150364922188085010922540649808688915382456415275913553560345411953305902635897792105821961692456369711026025166771,858099707516326214372737599885174152158679412517913176174307932398192897924707006515319955082681819372162038923935107254640248499964580476571753536389382144,-0.000935358868636
260,-2293168405060491987,9444732965739290427392,-0.000242798649086
261,-1054512072244898932223907255546492320916692307331025844987170493490414222512355540930413100885743731911918634119055065227726208251712675268849216071787565,6864797660130609714981900799081393217269435300143305409394463459185543183397656052122559640661454554977296311391480858037121987999716643812574028291115057152,-0.000153611530077
262,481439465583003151864963767138294932033660768661,748288838313422294120286634350736906063837462003712,0.000643387206828
263,-44934908490823049963018098106467983777105274961156776836775030371139150291600190228290897003365350618167285163365163982355172000640911913740293487560566127,219673525124179510879420825570604582952621929604585773100622830693937381868724993667921908501166545759273481964527387457187903615990932602002368905315681828864,-0.000204553136139
264,-29839,536870912,-0.000055579468608
265,1239784522251924086696356562691126690393913361104806324885108796518908390705261375440499631642310099484089753683788199071715390499925320322293848486537847413,1757388200993436087035366604564836663620975436836686184804982645551499054949799949343375268009332366074187855716219099657503228927927460816018951242525454630912,0.000705469924944
266,-21325671418938031918249926563470558624157294242093,47890485652059026823698344598447161988085597568237568,-0.000445300796778
267,18668579319686876057284535407447078405492868317445056224704547955865092521331166473167513911469508118498416955618121957884929788858017901363444181676485852817,28118211215894977392565865673037386617935606989386978956879722328823984879196799189494004288149317857187005691459505594520051662846839373056303219880407274094592,0.000663931968373
268,-41991564278886325723,37778931862957161709568,-0.001111507451593
269,-214729042684600242548601891830683050109371965822910173905736413511705840022124265636653644695254338212309736011745464603670726963517871393297099685629012265933,224945689727159819140526925384299092943484855915095831655037778630591879033574393515952034305194542857496045531676044756160413302774714984450425759043258192756736,-0.000954581716791
270,310368278275675170923916986391993211003231777149711,191561942608236107294793378393788647952342390272950272,0.001620198010366
271,-8605810408784421562125090143545244709532466023579923298191808094228756278993372236940344389422666372826646024465192383749143983091789845218213501507671416851223,14396524142538228424993723224595141948383030778566133225922417832357880258148761185020930195532450742879746914027266864394266451377581759004827248578768524336431104,-0.000597770011954
272,0,1,0.000000000000000
273,73350180489478554043261316370910936603214078706590017997340795467624251438761819289688032985981293954588492324252823455737325192391087850721234344133832348887505,115172193140305827399949785796761135587064246228529065807379342658863042065190089480167441564259605943037975312218134915154131611020654072038617988630148194691448832,0.000636874044763
274,-318426633099998802793702799514661869622639754284575,383123885216472214589586756787577295904684780545900544,-0.000831132292679
275,-489204022942028029960650818866968646029684552448105537860680965014211103917014874096490881216813088317131336865838873251149295501197929485699144089955678224557981,1842755090244893238399196572748178169393027939656465052918069482541808673043041431682679065028153695088607604995490158642466105776330465152617887818082371115063181312,-0.000265474248603
276,4558843427207518019,75557863725914323419136,0.000060335790378
277,9226229635334101656948358533526520859034186075547317506313281823801863825344517227494219767861018903620611390114536723855838533694887525973373248942648696277049269,14742040721959145907193572581985425355144223517251720423344555860334469384344331453461432520225229560708860839963921269139728846210643721220943102544658968920505450496,0.000625844807333
278,-5455074685512172438896176001854416799482509188730507,6129982163463555433433388108601236734474956488734408704,-0.000889900580466
279,-214714429451937540156058990495522185395344976299770380156516723486637290904994868566819811768683074836459036429573804821946902744416722053162552013688401108183537859,471745303102692669030194322623533611364615152552055053547025787530703020299018606510765840647207345942683546878845480612471323078740599079070179281429087005456174415872,-0.000455149056153
280,3727781,8589934592,0.000433970824815
281,-3698153635589362428528478882910324659743507391545148234664664931931494634690683375034117115288617543840647460276836469893324125107754658188773721375352898260287454439,3773962424821541352241554580988268890916921220416440428376206300245624162392148852086126725177658767541468375030763844899770584629924792632561434251432696043649395326976,-0.000979912680441
282,1383049745488670660054824149732814552017057167290485,24519928653854221733733552434404946937899825954937634816,0.000056405129273
283,7560256458071499573760951923437829242607333738419934732672934467658969272319410005415334052266820152666196338704842016346351720219661305280413309315482464110080690217,60383398797144661635864873295812302254670739526663046854019300803929986598274381633378027602842540280663494000492221518396329354078796682120982948022923136698390325231616,0.000125204221834
284,-29542335716361804619,75557863725914323419136,-0.000390989557666
285,115414249100187408022966424859262934815267071036315555015836211026388417499723983865159514643689141164079453494118843310228768715470621856942846144894244237519938030179,483067190377157293086918986366498418037365916213304374832154406431439892786195053067024220822740322245307952003937772147170634832630373456967863584183385093587122601852928,0.000238919660452
286,8618232355613795898735555719964720104402779813878275,24519928653854221733733552434404946937899825954937634816,0.000351478688102
287,-6319530142800281802357169048301970748907236078501978234312814703725236188087134413854978245433180913999272092053844285541787398927010547751967521592674504442815575131183,61832600368276133515125630254911797508782837275302959978515764023224306276632966792579100265310761247399417856504034834837841258576687802491886538775473291979151693037174784,-0.000102203855331
288,0,1,0.000000000000000
289,6352891376245446885345951913588487531013250186056991507941412690126648942617537885729829421528889162571266431156808981692619270340061671858847221300381261279281708582177,494660802946209068121005042039294380070262698202423679828126112185794450213063734340632802122486089979195342852032278678702730068613502419935092310203786335833213544297398272,0.000012842924562
290,-920067897262010062882873471919769761665192632621009367,6277101735386680763835789423207666416102355444464034512896,-0.000146575272482
